iteration,alpha,beta,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
10,1.0,2.0,1.0,0.0,10.0,204.5161964016676,211.07200404527302,0,1
10,1.0,2.0,1.0,0.1,10.0,192.3640062298515,223.15773339292946,0,1
10,1.0,2.0,1.0,0.2,10.0,197.85501528798397,231.34647277782787,0,1
10,1.0,2.0,1.0,0.30000000000000004,10.0,155.41887364811768,226.7376238680507,0,1
10,1.0,2.0,1.0,0.4,10.0,185.82248737208482,229.88699812716018,0,1
10,1.0,2.0,1.0,0.5,10.0,194.2217425008621,194.2217425008621,1,1
10,1.0,2.0,1.0,0.6000000000000001,10.0,190.15464990362673,222.32933380268148,0,1
10,1.0,2.0,1.0,0.7000000000000001,10.0,160.03036437084748,164.2305710313715,0,1
10,1.0,2.0,1.0,0.8,10.0,116.8464523370896,116.8464523370896,1,1
10,1.0,2.0,1.0,0.9,10.0,112.72451067019372,112.72451067019372,1,1
10,1.0,2.0,1.0,0.0,20.0,176.30929624492833,182.4104242823079,0,1
10,1.0,2.0,1.0,0.1,20.0,170.11539066149908,183.03696897391592,0,1
10,1.0,2.0,1.0,0.2,20.0,190.93087192282965,192.57476690303116,0,1
10,1.0,2.0,1.0,0.30000000000000004,20.0,172.52578347705494,199.22023638422547,0,1
10,1.0,2.0,1.0,0.4,20.0,172.28415152646235,172.28415152646235,1,1
10,1.0,2.0,1.0,0.5,20.0,132.38082043640478,132.38082043640478,1,1
10,1.0,2.0,1.0,0.6000000000000001,20.0,142.19032105346997,143.708305281227,0,1
10,1.0,2.0,1.0,0.7000000000000001,20.0,119.56710471961541,119.56710471961541,1,1
10,1.0,2.0,1.0,0.8,20.0,113.53499433135744,113.53499433135744,1,1
10,1.0,2.0,1.0,0.9,20.0,116.50494161790388,116.50494161790388,1,1
10,1.0,2.0,1.0,0.0,30.0,181.8222946142166,210.02360485696366,0,1
10,1.0,2.0,1.0,0.1,30.0,173.26872435987133,173.26872435987133,1,1
10,1.0,2.0,1.0,0.2,30.0,175.17825698812285,175.17825698812285,1,1
10,1.0,2.0,1.0,0.30000000000000004,30.0,148.00296218798903,164.50443609945998,0,1
10,1.0,2.0,1.0,0.4,30.0,136.04791996252243,158.49964980637102,0,1
10,1.0,2.0,1.0,0.5,30.0,155.57702234236677,162.7225884279348,0,1
10,1.0,2.0,1.0,0.6000000000000001,30.0,156.81170532366818,156.81170532366818,1,1
10,1.0,2.0,1.0,0.7000000000000001,30.0,139.16115454993817,144.0496452429977,0,1
10,1.0,2.0,1.0,0.8,30.0,113.60472061183705,115.1643163164607,0,2
10,1.0,2.0,1.0,0.9,30.0,111.73516373507034,111.73516373507034,1,1
10,1.0,2.0,1.0,0.0,40.0,170.24766762227688,201.64452744630208,0,1
10,1.0,2.0,1.0,0.1,40.0,176.33600709303,217.42014864731973,0,1
10,1.0,2.0,1.0,0.2,40.0,177.51717001578507,206.38730520577158,0,1
10,1.0,2.0,1.0,0.30000000000000004,40.0,147.89603527510855,167.88348306941404,0,1
10,1.0,2.0,1.0,0.4,40.0,163.75755249834228,167.07772740836617,0,1
10,1.0,2.0,1.0,0.5,40.0,165.74344677727294,175.75719156858017,0,1
10,1.0,2.0,1.0,0.6000000000000001,40.0,134.47472822075704,147.24371892392412,0,1
10,1.0,2.0,1.0,0.7000000000000001,40.0,143.3486314025087,143.3486314025087,1,1
10,1.0,2.0,1.0,0.8,40.0,123.7152867928452,128.51750951015958,0,1
10,1.0,2.0,1.0,0.9,40.0,111.12423878147453,116.53850472843963,0,1
10,1.0,2.0,1.0,0.0,50.0,194.17289020832948,209.3330622602702,0,1
10,1.0,2.0,1.0,0.1,50.0,172.3109503871863,173.27921469371947,0,1
10,1.0,2.0,1.0,0.2,50.0,194.99900106648346,198.5001954613477,0,1
10,1.0,2.0,1.0,0.30000000000000004,50.0,170.4159376462765,200.84700316445168,0,1
10,1.0,2.0,1.0,0.4,50.0,177.9711122372654,185.57116427851298,0,1
10,1.0,2.0,1.0,0.5,50.0,162.22009547143497,165.07124049087165,0,1
10,1.0,2.0,1.0,0.6000000000000001,50.0,129.99627547827382,129.99627547827382,2,2
10,1.0,2.0,1.0,0.7000000000000001,50.0,140.84510558817865,163.91260964866171,0,1
10,1.0,2.0,1.0,0.8,50.0,118.12180496297877,118.12180496297877,1,1
10,1.0,2.0,1.0,0.9,50.0,126.40682416760092,131.2575593709081,0,1
