iteration,alpha,beta,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
1,1.0,2.0,1.0,0.0,1.0,1346.5348904669495,1346.5348904669495,1,1
1,1.0,2.0,1.0,0.01,1.0,1274.7285741969556,1274.7285741969556,1,1
1,1.0,2.0,1.0,0.02,1.0,1303.9394969019072,1303.9394969019072,1,1
1,1.0,2.0,1.0,0.03,1.0,1260.4442230219684,1260.4442230219684,1,1
1,1.0,2.0,1.0,0.04,1.0,1291.178889287645,1291.178889287645,1,1
1,1.0,2.0,1.0,0.05,1.0,1310.8361005865447,1310.8361005865447,1,1
1,1.0,2.0,1.0,0.06,1.0,1316.8619621105395,1316.8619621105395,1,1
1,1.0,2.0,1.0,0.07,1.0,1338.883514053397,1338.883514053397,1,1
1,1.0,2.0,1.0,0.08,1.0,1303.4181022162584,1303.4181022162584,1,1
1,1.0,2.0,1.0,0.09,1.0,1253.1167654310175,1253.1167654310175,1,1
1,1.0,2.0,1.0,0.1,1.0,1341.7690144100973,1341.7690144100973,1,1
1,1.0,2.0,1.0,0.11,1.0,1327.1776992531265,1327.1776992531265,1,1
1,1.0,2.0,1.0,0.12,1.0,1313.5537286262324,1313.5537286262324,1,1
1,1.0,2.0,1.0,0.13,1.0,1312.616604607298,1312.616604607298,1,1
1,1.0,2.0,1.0,0.14,1.0,1324.7280264108576,1324.7280264108576,1,1
1,1.0,2.0,1.0,0.15,1.0,1350.9860541850787,1350.9860541850787,1,1
1,1.0,2.0,1.0,0.16,1.0,1330.7852161402634,1330.7852161402634,1,1
1,1.0,2.0,1.0,0.17,1.0,1279.3568059007741,1279.3568059007741,1,1
1,1.0,2.0,1.0,0.18,1.0,1314.2374302151452,1314.2374302151452,1,1
1,1.0,2.0,1.0,0.19,1.0,1335.2938108046972,1335.2938108046972,1,1
1,1.0,2.0,1.0,0.2,1.0,1330.2996192353833,1330.2996192353833,1,1
1,1.0,2.0,1.0,0.21,1.0,1289.074951546195,1289.074951546195,1,1
1,1.0,2.0,1.0,0.22,1.0,1289.331022221718,1289.331022221718,1,1
1,1.0,2.0,1.0,0.23,1.0,1257.180897133772,1257.180897133772,1,1
1,1.0,2.0,1.0,0.24,1.0,1308.5193422150044,1308.5193422150044,1,1
1,1.0,2.0,1.0,0.25,1.0,1303.2372751812584,1303.2372751812584,1,1
1,1.0,2.0,1.0,0.26,1.0,1319.736589934919,1319.736589934919,1,1
1,1.0,2.0,1.0,0.27,1.0,1325.4687166336948,1325.4687166336948,1,1
1,1.0,2.0,1.0,0.28,1.0,1338.4474768729403,1338.4474768729403,1,1
1,1.0,2.0,1.0,0.29,1.0,1387.1746867045038,1387.1746867045038,1,1
1,1.0,2.0,1.0,0.3,1.0,1334.078404479345,1334.078404479345,1,1
1,1.0,2.0,1.0,0.31,1.0,1319.2386735733583,1319.2386735733583,1,1
1,1.0,2.0,1.0,0.32,1.0,1299.6625204504494,1299.6625204504494,1,1
1,1.0,2.0,1.0,0.33,1.0,1319.2479903342005,1319.2479903342005,1,1
1,1.0,2.0,1.0,0.34,1.0,1287.4904609154692,1287.4904609154692,1,1
1,1.0,2.0,1.0,0.35000000000000003,1.0,1273.7961662233852,1273.7961662233852,1,1
