iteration,alpha,beta,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
1,1.0,2.0,1.0,0.0,1.0,500.6898215361623,500.6898215361623,1,1
1,1.0,2.0,1.0,0.01,1.0,462.45747075877046,462.45747075877046,1,1
1,1.0,2.0,1.0,0.02,1.0,515.4344798696343,515.4344798696343,1,1
1,1.0,2.0,1.0,0.03,1.0,520.1274643955226,520.1274643955226,1,1
1,1.0,2.0,1.0,0.04,1.0,492.77207290066735,492.77207290066735,1,1
1,1.0,2.0,1.0,0.05,1.0,459.1522934993373,459.1522934993373,1,1
1,1.0,2.0,1.0,0.06,1.0,501.2742957249511,501.2742957249511,1,1
1,1.0,2.0,1.0,0.07,1.0,522.9235551438031,522.9235551438031,1,1
1,1.0,2.0,1.0,0.08,1.0,490.10996667942027,490.10996667942027,1,1
1,1.0,2.0,1.0,0.09,1.0,490.76026821436176,490.76026821436176,1,1
1,1.0,2.0,1.0,0.1,1.0,489.99013448460676,489.99013448460676,1,1
1,1.0,2.0,1.0,0.11,1.0,504.1430022422204,504.1430022422204,1,1
1,1.0,2.0,1.0,0.12,1.0,468.1125549053068,468.1125549053068,1,1
1,1.0,2.0,1.0,0.13,1.0,479.2000532474886,479.2000532474886,1,1
1,1.0,2.0,1.0,0.14,1.0,497.14448761158326,497.14448761158326,1,1
1,1.0,2.0,1.0,0.15,1.0,462.52782003534446,462.52782003534446,1,1
1,1.0,2.0,1.0,0.16,1.0,508.02704507053784,508.02704507053784,1,1
1,1.0,2.0,1.0,0.17,1.0,511.1420428844369,511.1420428844369,1,1
1,1.0,2.0,1.0,0.18,1.0,474.096863875579,474.096863875579,1,1
1,1.0,2.0,1.0,0.19,1.0,427.77143400008015,427.77143400008015,1,1
1,1.0,2.0,1.0,0.2,1.0,448.7175101380028,448.7175101380028,1,1
1,1.0,2.0,1.0,0.21,1.0,448.9303874912702,448.9303874912702,1,1
1,1.0,2.0,1.0,0.22,1.0,510.95653589490985,510.95653589490985,1,1
1,1.0,2.0,1.0,0.23,1.0,492.358211353846,492.358211353846,1,1
1,1.0,2.0,1.0,0.24,1.0,463.6487966114612,463.6487966114612,1,1
1,1.0,2.0,1.0,0.25,1.0,499.38252429201526,499.38252429201526,1,1
1,1.0,2.0,1.0,0.26,1.0,470.90222560709185,470.90222560709185,1,1
1,1.0,2.0,1.0,0.27,1.0,479.53410178084897,479.53410178084897,1,1
1,1.0,2.0,1.0,0.28,1.0,510.0410255749118,510.0410255749118,1,1
1,1.0,2.0,1.0,0.29,1.0,489.8143344912023,489.8143344912023,1,1
1,1.0,2.0,1.0,0.3,1.0,479.7553005538889,479.7553005538889,1,1
1,1.0,2.0,1.0,0.31,1.0,477.08633111949257,477.08633111949257,1,1
1,1.0,2.0,1.0,0.32,1.0,478.54683780811996,478.54683780811996,1,1
1,1.0,2.0,1.0,0.33,1.0,494.42536646392284,494.42536646392284,1,1
1,1.0,2.0,1.0,0.34,1.0,511.09827773889174,511.09827773889174,1,1
1,1.0,2.0,1.0,0.35000000000000003,1.0,527.0638797997698,527.0638797997698,1,1
1,1.0,2.0,1.0,0.36,1.0,506.5013101577377,506.5013101577377,1,1
1,1.0,2.0,1.0,0.37,1.0,535.8136038405544,535.8136038405544,1,1
1,1.0,2.0,1.0,0.38,1.0,489.70413195040675,489.70413195040675,1,1
1,1.0,2.0,1.0,0.39,1.0,488.8800143438466,488.8800143438466,1,1
1,1.0,2.0,1.0,0.4,1.0,511.3574754812414,511.3574754812414,1,1
1,1.0,2.0,1.0,0.41000000000000003,1.0,502.89488890961263,502.89488890961263,1,1
1,1.0,2.0,1.0,0.42,1.0,492.3759912377447,492.3759912377447,1,1
1,1.0,2.0,1.0,0.43,1.0,501.22066808089147,501.22066808089147,1,1
1,1.0,2.0,1.0,0.44,1.0,516.6610804783902,516.6610804783902,1,1
1,1.0,2.0,1.0,0.45,1.0,505.761303505582,505.761303505582,1,1
1,1.0,2.0,1.0,0.46,1.0,504.40881706530877,504.40881706530877,1,1
1,1.0,2.0,1.0,0.47000000000000003,1.0,461.0895872416209,461.0895872416209,1,1
1,1.0,2.0,1.0,0.48,1.0,488.1954850092779,488.1954850092779,1,1
1,1.0,2.0,1.0,0.49,1.0,491.7910589767784,491.7910589767784,1,1
1,1.0,2.0,1.0,0.5,1.0,480.83315917878906,480.83315917878906,1,1
1,1.0,2.0,1.0,0.51,1.0,510.98350334829007,510.98350334829007,1,1
1,1.0,2.0,1.0,0.52,1.0,501.98034559140336,501.98034559140336,1,1
1,1.0,2.0,1.0,0.53,1.0,520.4322820011574,520.4322820011574,1,1
