iteration,alpha,beta,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
1,1.0,2.0,1.0,0.0,1.0,535.2756151801282,535.2756151801282,1,1
1,1.0,2.0,1.0,0.01,1.0,512.353430978169,512.353430978169,1,1
1,1.0,2.0,1.0,0.02,1.0,466.2815957073518,466.2815957073518,1,1
1,1.0,2.0,1.0,0.03,1.0,495.41081917337846,495.41081917337846,1,1
1,1.0,2.0,1.0,0.04,1.0,543.4047299199624,543.4047299199624,1,1
1,1.0,2.0,1.0,0.05,1.0,439.7751752711077,439.7751752711077,1,1
1,1.0,2.0,1.0,0.06,1.0,478.0239638663976,478.0239638663976,1,1
1,1.0,2.0,1.0,0.07,1.0,447.0985342167057,447.0985342167057,1,1
1,1.0,2.0,1.0,0.08,1.0,474.41537793824017,474.41537793824017,1,1
1,1.0,2.0,1.0,0.09,1.0,497.2012164314041,497.2012164314041,1,1
1,1.0,2.0,1.0,0.1,1.0,494.80858285143063,494.80858285143063,1,1
1,1.0,2.0,1.0,0.11,1.0,528.4117120589839,528.4117120589839,1,1
1,1.0,2.0,1.0,0.12,1.0,512.4425873969019,512.4425873969019,1,1
1,1.0,2.0,1.0,0.13,1.0,472.96244347021883,472.96244347021883,1,1
1,1.0,2.0,1.0,0.14,1.0,490.8998195852262,490.8998195852262,1,1
1,1.0,2.0,1.0,0.15,1.0,506.96817021655477,506.96817021655477,1,1
1,1.0,2.0,1.0,0.16,1.0,483.6869420825752,483.6869420825752,1,1
1,1.0,2.0,1.0,0.17,1.0,428.5999744797417,428.5999744797417,1,1
1,1.0,2.0,1.0,0.18,1.0,434.326911402795,434.326911402795,1,1
1,1.0,2.0,1.0,0.19,1.0,498.5119160344206,498.5119160344206,1,1
1,1.0,2.0,1.0,0.2,1.0,480.30904070553225,480.30904070553225,1,1
1,1.0,2.0,1.0,0.21,1.0,484.1234267920083,484.1234267920083,1,1
1,1.0,2.0,1.0,0.22,1.0,474.0641135250081,474.0641135250081,1,1
1,1.0,2.0,1.0,0.23,1.0,479.5807808826289,479.5807808826289,1,1
1,1.0,2.0,1.0,0.24,1.0,513.5011298665095,513.5011298665095,1,1
1,1.0,2.0,1.0,0.25,1.0,466.6657257205937,466.6657257205937,1,1
1,1.0,2.0,1.0,0.26,1.0,493.9184826435255,493.9184826435255,1,1
1,1.0,2.0,1.0,0.27,1.0,535.7383946589639,535.7383946589639,1,1
1,1.0,2.0,1.0,0.28,1.0,483.4687741507836,483.4687741507836,1,1
1,1.0,2.0,1.0,0.29,1.0,510.73358494488605,510.73358494488605,1,1
1,1.0,2.0,1.0,0.3,1.0,501.45223527087734,501.45223527087734,1,1
1,1.0,2.0,1.0,0.31,1.0,509.79548169674445,509.79548169674445,1,1
1,1.0,2.0,1.0,0.32,1.0,495.0376038775137,495.0376038775137,1,1
1,1.0,2.0,1.0,0.33,1.0,496.6829656665745,496.6829656665745,1,1
1,1.0,2.0,1.0,0.34,1.0,496.24048776209827,496.24048776209827,1,1
1,1.0,2.0,1.0,0.35000000000000003,1.0,496.5564187993228,496.5564187993228,1,1
1,1.0,2.0,1.0,0.36,1.0,471.88283713619165,471.88283713619165,1,1
1,1.0,2.0,1.0,0.37,1.0,480.3278605996665,480.3278605996665,1,1
1,1.0,2.0,1.0,0.38,1.0,475.8866110911401,475.8866110911401,1,1
1,1.0,2.0,1.0,0.39,1.0,455.5737700978977,455.5737700978977,1,1
1,1.0,2.0,1.0,0.4,1.0,495.10361846233616,495.10361846233616,1,1
1,1.0,2.0,1.0,0.41000000000000003,1.0,427.78449993295555,427.78449993295555,1,1
1,1.0,2.0,1.0,0.42,1.0,487.30646002343286,487.30646002343286,1,1
1,1.0,2.0,1.0,0.43,1.0,512.8598787019587,512.8598787019587,1,1
1,1.0,2.0,1.0,0.44,1.0,502.40238453881267,502.40238453881267,1,1
1,1.0,2.0,1.0,0.45,1.0,490.7739818253209,490.7739818253209,1,1
1,1.0,2.0,1.0,0.46,1.0,492.34000241832473,492.34000241832473,1,1
1,1.0,2.0,1.0,0.47000000000000003,1.0,448.18688977086646,448.18688977086646,1,1
1,1.0,2.0,1.0,0.48,1.0,491.81790794969197,491.81790794969197,1,1
1,1.0,2.0,1.0,0.49,1.0,554.4522295090261,554.4522295090261,1,1
1,1.0,2.0,1.0,0.5,1.0,505.8839711327356,505.8839711327356,1,1
1,1.0,2.0,1.0,0.51,1.0,479.81242570807115,479.81242570807115,1,1
1,1.0,2.0,1.0,0.52,1.0,487.3407517122562,487.3407517122562,1,1
1,1.0,2.0,1.0,0.53,1.0,494.23330887641015,494.23330887641015,1,1
1,1.0,2.0,1.0,0.54,1.0,525.5846848190273,525.5846848190273,1,1
1,1.0,2.0,1.0,0.55,1.0,513.0901560216394,513.0901560216394,1,1
1,1.0,2.0,1.0,0.56,1.0,501.0064010243371,501.0064010243371,1,1
1,1.0,2.0,1.0,0.5700000000000001,1.0,500.50256404454365,500.50256404454365,1,1
1,1.0,2.0,1.0,0.58,1.0,476.31291341695646,476.31291341695646,1,1
1,1.0,2.0,1.0,0.59,1.0,485.34201051867734,485.34201051867734,1,1
1,1.0,2.0,1.0,0.6,1.0,473.1507050914643,473.1507050914643,1,1
1,1.0,2.0,1.0,0.61,1.0,485.92014775847895,485.92014775847895,1,1
1,1.0,2.0,1.0,0.62,1.0,510.7078993198801,510.7078993198801,1,1
1,1.0,2.0,1.0,0.63,1.0,510.8120557707523,510.8120557707523,1,1
1,1.0,2.0,1.0,0.64,1.0,482.3349645950054,482.3349645950054,1,1
1,1.0,2.0,1.0,0.65,1.0,496.72166357609115,496.72166357609115,1,1
1,1.0,2.0,1.0,0.66,1.0,462.77659897898315,462.77659897898315,1,1
1,1.0,2.0,1.0,0.67,1.0,504.98972167801276,504.98972167801276,1,1
1,1.0,2.0,1.0,0.68,1.0,510.7888393719303,510.7888393719303,1,1
1,1.0,2.0,1.0,0.6900000000000001,1.0,498.1559161766712,498.1559161766712,1,1
1,1.0,2.0,1.0,0.7000000000000001,1.0,438.8014863646387,438.8014863646387,1,1
1,1.0,2.0,1.0,0.71,1.0,504.2186451896619,504.2186451896619,1,1
1,1.0,2.0,1.0,0.72,1.0,505.9746184112272,505.9746184112272,1,1
1,1.0,2.0,1.0,0.73,1.0,510.63990221019196,510.63990221019196,1,1
1,1.0,2.0,1.0,0.74,1.0,455.29877904106576,455.29877904106576,1,1
