iteration,alpha,beta,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
1,1.0,2.0,1.0,0.0,1.0,206.78487291462562,206.78487291462562,1,1
1,1.0,2.0,1.0,0.01,1.0,212.4082291799684,212.4082291799684,1,1
1,1.0,2.0,1.0,0.02,1.0,203.93291881576877,203.93291881576877,1,1
1,1.0,2.0,1.0,0.03,1.0,222.9565951614312,222.9565951614312,1,1
1,1.0,2.0,1.0,0.04,1.0,198.57952286206128,198.57952286206128,1,1
1,1.0,2.0,1.0,0.05,1.0,234.55524333341307,234.55524333341307,1,1
1,1.0,2.0,1.0,0.06,1.0,232.76067312734736,232.76067312734736,1,1
1,1.0,2.0,1.0,0.07,1.0,228.86110337200085,228.86110337200085,1,1
1,1.0,2.0,1.0,0.08,1.0,228.73584851818873,228.73584851818873,1,1
1,1.0,2.0,1.0,0.09,1.0,246.85460625203012,246.85460625203012,1,1
1,1.0,2.0,1.0,0.1,1.0,213.49850144351154,213.49850144351154,1,1
1,1.0,2.0,1.0,0.11,1.0,204.45755339162852,204.45755339162852,1,1
1,1.0,2.0,1.0,0.12,1.0,229.0446612932798,229.0446612932798,1,1
1,1.0,2.0,1.0,0.13,1.0,207.76449109375224,207.76449109375224,1,1
1,1.0,2.0,1.0,0.14,1.0,217.28314516849053,217.28314516849053,1,1
1,1.0,2.0,1.0,0.15,1.0,209.29046359904666,209.29046359904666,1,1
1,1.0,2.0,1.0,0.16,1.0,228.407226880148,228.407226880148,1,1
1,1.0,2.0,1.0,0.17,1.0,234.56536207534165,234.56536207534165,1,1
1,1.0,2.0,1.0,0.18,1.0,220.6065545850983,220.6065545850983,1,1
1,1.0,2.0,1.0,0.19,1.0,213.0616549549996,213.0616549549996,1,1
1,1.0,2.0,1.0,0.2,1.0,189.26544753443542,189.26544753443542,1,1
1,1.0,2.0,1.0,0.21,1.0,237.07744783759222,237.07744783759222,1,1
1,1.0,2.0,1.0,0.22,1.0,227.5795577331039,227.5795577331039,1,1
1,1.0,2.0,1.0,0.23,1.0,227.446485882128,227.446485882128,1,1
1,1.0,2.0,1.0,0.24,1.0,230.71843080198104,230.71843080198104,1,1
1,1.0,2.0,1.0,0.25,1.0,242.80404979112313,242.80404979112313,1,1
1,1.0,2.0,1.0,0.26,1.0,236.54297411747928,236.54297411747928,1,1
1,1.0,2.0,1.0,0.27,1.0,217.8101894897322,217.8101894897322,1,1
1,1.0,2.0,1.0,0.28,1.0,215.78830281418396,215.78830281418396,1,1
1,1.0,2.0,1.0,0.29,1.0,210.021239643503,210.021239643503,1,1
1,1.0,2.0,1.0,0.3,1.0,219.71765035862165,219.71765035862165,1,1
1,1.0,2.0,1.0,0.31,1.0,228.22147459305435,228.22147459305435,1,1
1,1.0,2.0,1.0,0.32,1.0,221.57867027194553,221.57867027194553,1,1
1,1.0,2.0,1.0,0.33,1.0,218.75603348566594,218.75603348566594,1,1
1,1.0,2.0,1.0,0.34,1.0,224.78368019794576,224.78368019794576,1,1
1,1.0,2.0,1.0,0.35000000000000003,1.0,228.89037764193182,228.89037764193182,1,1
1,1.0,2.0,1.0,0.36,1.0,236.81947135627894,236.81947135627894,1,1
1,1.0,2.0,1.0,0.37,1.0,232.83327882880275,232.83327882880275,1,1
1,1.0,2.0,1.0,0.38,1.0,253.61517622849618,253.61517622849618,1,1
1,1.0,2.0,1.0,0.39,1.0,251.29695652030753,251.29695652030753,1,1
1,1.0,2.0,1.0,0.4,1.0,227.53142806562727,227.53142806562727,1,1
