iteration,alpha,beta,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
1,1.0,2.0,1.0,0.0,1.0,253.49888941984494,253.49888941984494,1,1
1,1.0,2.0,1.0,0.01,1.0,240.8587766244821,240.8587766244821,1,1
1,1.0,2.0,1.0,0.02,1.0,241.3190872419445,241.3190872419445,1,1
1,1.0,2.0,1.0,0.03,1.0,207.17509861075854,207.17509861075854,1,1
1,1.0,2.0,1.0,0.04,1.0,218.76970693514343,218.76970693514343,1,1
1,1.0,2.0,1.0,0.05,1.0,220.1439006879332,220.1439006879332,1,1
1,1.0,2.0,1.0,0.06,1.0,207.25830392231381,207.25830392231381,1,1
1,1.0,2.0,1.0,0.07,1.0,250.9938864789453,250.9938864789453,1,1
1,1.0,2.0,1.0,0.08,1.0,232.54266161543833,232.54266161543833,1,1
1,1.0,2.0,1.0,0.09,1.0,251.23787437780692,251.23787437780692,1,1
1,1.0,2.0,1.0,0.1,1.0,219.78784927052263,219.78784927052263,1,1
1,1.0,2.0,1.0,0.11,1.0,217.4137872261809,217.4137872261809,1,1
1,1.0,2.0,1.0,0.12,1.0,221.66881253605786,221.66881253605786,1,1
1,1.0,2.0,1.0,0.13,1.0,240.21576222152558,240.21576222152558,1,1
1,1.0,2.0,1.0,0.14,1.0,187.95250982463443,187.95250982463443,1,1
1,1.0,2.0,1.0,0.15,1.0,240.64414520885057,240.64414520885057,1,1
1,1.0,2.0,1.0,0.16,1.0,225.51345257103284,225.51345257103284,1,1
1,1.0,2.0,1.0,0.17,1.0,244.0911463840205,244.0911463840205,1,1
1,1.0,2.0,1.0,0.18,1.0,216.71428981780463,216.71428981780463,1,1
1,1.0,2.0,1.0,0.19,1.0,238.7601724847204,238.7601724847204,1,1
1,1.0,2.0,1.0,0.2,1.0,212.81799322290212,212.81799322290212,1,1
1,1.0,2.0,1.0,0.21,1.0,231.76247751598152,231.76247751598152,1,1
1,1.0,2.0,1.0,0.22,1.0,205.41247430515406,205.41247430515406,1,1
1,1.0,2.0,1.0,0.23,1.0,229.62966758471336,229.62966758471336,1,1
1,1.0,2.0,1.0,0.24,1.0,228.47150929653577,228.47150929653577,1,1
1,1.0,2.0,1.0,0.25,1.0,199.7375832031781,199.7375832031781,1,1
1,1.0,2.0,1.0,0.26,1.0,243.40928342294703,243.40928342294703,1,1
1,1.0,2.0,1.0,0.27,1.0,226.31470174266906,226.31470174266906,1,1
1,1.0,2.0,1.0,0.28,1.0,228.9622713305382,228.9622713305382,1,1
1,1.0,2.0,1.0,0.29,1.0,218.63225165719678,218.63225165719678,1,1
1,1.0,2.0,1.0,0.3,1.0,247.68846154432396,247.68846154432396,1,1
1,1.0,2.0,1.0,0.31,1.0,227.40042695824334,227.40042695824334,1,1
1,1.0,2.0,1.0,0.32,1.0,229.91273702088898,229.91273702088898,1,1
1,1.0,2.0,1.0,0.33,1.0,243.16854174638246,243.16854174638246,1,1
1,1.0,2.0,1.0,0.34,1.0,222.76624790569352,222.76624790569352,1,1
1,1.0,2.0,1.0,0.35000000000000003,1.0,198.71303662975714,198.71303662975714,1,1
1,1.0,2.0,1.0,0.36,1.0,229.30697700082146,229.30697700082146,1,1
1,1.0,2.0,1.0,0.37,1.0,228.79341389652006,228.79341389652006,1,1
1,1.0,2.0,1.0,0.38,1.0,230.53252212599756,230.53252212599756,1,1
1,1.0,2.0,1.0,0.39,1.0,215.5022780332836,215.5022780332836,1,1
1,1.0,2.0,1.0,0.4,1.0,208.42040674196528,208.42040674196528,1,1
1,1.0,2.0,1.0,0.41000000000000003,1.0,228.78637040873298,228.78637040873298,1,1
1,1.0,2.0,1.0,0.42,1.0,211.31461738619743,211.31461738619743,1,1
1,1.0,2.0,1.0,0.43,1.0,228.3068339620691,228.3068339620691,1,1
1,1.0,2.0,1.0,0.44,1.0,213.1264583662815,213.1264583662815,1,1
1,1.0,2.0,1.0,0.45,1.0,215.93242494871572,215.93242494871572,1,1
1,1.0,2.0,1.0,0.46,1.0,230.70656657894835,230.70656657894835,1,1
1,1.0,2.0,1.0,0.47000000000000003,1.0,193.76007189552598,193.76007189552598,1,1
1,1.0,2.0,1.0,0.48,1.0,218.99251411010806,218.99251411010806,1,1
1,1.0,2.0,1.0,0.49,1.0,226.5003757191774,226.5003757191774,1,1
1,1.0,2.0,1.0,0.5,1.0,221.24579460606515,221.24579460606515,1,1
1,1.0,2.0,1.0,0.51,1.0,215.0232114417866,215.0232114417866,1,1
1,1.0,2.0,1.0,0.52,1.0,252.2572303168459,252.2572303168459,1,1
1,1.0,2.0,1.0,0.53,1.0,231.23908352785037,231.23908352785037,1,1
1,1.0,2.0,1.0,0.54,1.0,228.45325960393197,228.45325960393197,1,1
1,1.0,2.0,1.0,0.55,1.0,232.198096025269,232.198096025269,1,1
1,1.0,2.0,1.0,0.56,1.0,235.35834101566263,235.35834101566263,1,1
1,1.0,2.0,1.0,0.5700000000000001,1.0,238.21986282201286,238.21986282201286,1,1
1,1.0,2.0,1.0,0.58,1.0,240.57978128361935,240.57978128361935,1,1
1,1.0,2.0,1.0,0.59,1.0,207.6940550473082,207.6940550473082,1,1
1,1.0,2.0,1.0,0.6,1.0,217.84875195655687,217.84875195655687,1,1
1,1.0,2.0,1.0,0.61,1.0,238.41993092886324,238.41993092886324,1,1
1,1.0,2.0,1.0,0.62,1.0,191.81025104841174,191.81025104841174,1,1
1,1.0,2.0,1.0,0.63,1.0,196.76495459520413,196.76495459520413,1,1
1,1.0,2.0,1.0,0.64,1.0,214.76319639504268,214.76319639504268,1,1
1,1.0,2.0,1.0,0.65,1.0,219.00915665066603,219.00915665066603,1,1
1,1.0,2.0,1.0,0.66,1.0,209.32841751451392,209.32841751451392,1,1
1,1.0,2.0,1.0,0.67,1.0,217.53178266532876,217.53178266532876,1,1
1,1.0,2.0,1.0,0.68,1.0,202.62691222852678,202.62691222852678,1,1
1,1.0,2.0,1.0,0.6900000000000001,1.0,233.55008660877579,233.55008660877579,1,1
1,1.0,2.0,1.0,0.7000000000000001,1.0,237.77479315902872,237.77479315902872,1,1
1,1.0,2.0,1.0,0.71,1.0,237.86306008787042,237.86306008787042,1,1
