iteration,alpha,beta,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
50,1.0,2.0,3.0,0.8,20.0,192.08620351137725,216.91466546149184,0,1
50,1.0,2.0,0.0,0.8,20.0,179.85152962989307,214.94131531924376,0,1
50,1.0,2.0,1.0,0.8,20.0,207.05125498308368,224.01053988039868,0,1
50,1.0,2.0,6.0,0.8,20.0,162.08261184277842,184.40766109589467,0,1
50,1.0,2.0,7.0,0.8,20.0,159.5648519861302,173.7740581761794,0,1
50,1.0,2.0,4.0,0.8,20.0,182.31851832349,205.25673552350815,0,1
50,1.0,2.0,5.0,0.8,20.0,153.37650486104107,154.65868315101665,0,1
50,1.0,2.0,10.0,0.8,20.0,201.0729790309124,255.01499590537694,0,1
50,1.0,2.0,11.0,0.8,20.0,164.5549449901915,188.8095644061296,0,1
50,1.0,2.0,8.0,0.8,20.0,165.0798585567018,184.18781438125777,0,1
50,1.0,2.0,9.0,0.8,20.0,176.57399414057082,184.87190539243647,0,1
50,1.0,2.0,14.0,0.8,20.0,188.56394578120023,195.4611064360366,0,1
50,1.0,2.0,15.0,0.8,20.0,193.74041496787117,227.69378256476801,0,1
50,1.0,2.0,12.0,0.8,20.0,171.53117390151078,186.34555629851633,0,1
50,1.0,2.0,13.0,0.8,20.0,175.8824989480571,192.32408471710735,0,1
50,1.0,2.0,18.0,0.8,20.0,181.03968533097137,191.04070595749295,0,1
50,1.0,2.0,19.0,0.8,20.0,145.7341661519094,152.04497884888733,0,1
50,1.0,2.0,16.0,0.8,20.0,157.0388720567073,157.91029130467032,0,1
50,1.0,2.0,17.0,0.8,20.0,161.30991328903863,169.7342348219104,0,1
50,1.0,2.0,3.0,0.8,20.0,157.11870577062686,157.11870577062686,1,1
50,1.0,2.0,0.0,0.8,20.0,202.94284305025212,222.13715447708444,0,1
50,1.0,2.0,1.0,0.8,20.0,144.96108860973138,154.08433387628173,0,1
50,1.0,2.0,6.0,0.8,20.0,175.58883738911578,222.33389090315555,0,1
50,1.0,2.0,7.0,0.8,20.0,163.35008935507196,170.35013078505818,0,1
50,1.0,2.0,4.0,0.8,20.0,150.73192601928102,150.73192601928102,1,1
50,1.0,2.0,5.0,0.8,20.0,155.91133835437785,165.66589892643955,0,1
50,1.0,2.0,10.0,0.8,20.0,183.4232496238994,195.36409840818848,0,1
50,1.0,2.0,11.0,0.8,20.0,184.1622586218951,189.07766401166464,0,1
50,1.0,2.0,8.0,0.8,20.0,155.16216759763572,178.0707225582371,0,1
50,1.0,2.0,9.0,0.8,20.0,182.78187901187852,194.71759966105188,0,1
50,1.0,2.0,14.0,0.8,20.0,162.88719114802012,186.34347713451368,0,1
50,1.0,2.0,15.0,0.8,20.0,203.00770285457375,224.14693221407737,0,1
50,1.0,2.0,12.0,0.8,20.0,167.89520208217445,182.4271202982484,0,1
50,1.0,2.0,13.0,0.8,20.0,202.60724648686306,243.4449225893738,0,1
50,1.0,2.0,18.0,0.8,20.0,155.32343626987134,155.32343626987134,1,1
50,1.0,2.0,19.0,0.8,20.0,172.65361605631085,197.5491682956506,0,1
50,1.0,2.0,16.0,0.8,20.0,166.68938751149233,180.37289796333025,0,1
50,1.0,2.0,17.0,0.8,20.0,194.65569254113967,217.8990024898161,0,1
50,1.0,2.0,3.0,0.8,20.0,159.52136427362686,165.07642059067132,0,1
50,1.0,2.0,0.0,0.8,20.0,175.54714975607814,189.40668628792233,0,1
50,1.0,2.0,1.0,0.8,20.0,173.86715933830934,173.86715933830934,1,1
50,1.0,2.0,6.0,0.8,20.0,144.53655966088016,144.53655966088016,1,1
50,1.0,2.0,7.0,0.8,20.0,154.56664151725758,193.5189003273827,0,1
50,1.0,2.0,4.0,0.8,20.0,153.8841687923441,161.29301085973714,0,1
50,1.0,2.0,5.0,0.8,20.0,170.23122049017513,182.50060385223418,0,1
50,1.0,2.0,10.0,0.8,20.0,182.81051107561342,182.81051107561342,1,1
50,1.0,2.0,11.0,0.8,20.0,191.8663384497981,218.84818128742145,0,1
50,1.0,2.0,8.0,0.8,20.0,168.17800036410625,200.03516072030214,0,1
50,1.0,2.0,9.0,0.8,20.0,160.63730864933555,171.51542476986185,0,1
50,1.0,2.0,14.0,0.8,20.0,151.85124054834165,170.17480458003823,0,1
50,1.0,2.0,15.0,0.8,20.0,198.77042254846458,213.36140840425784,0,1
50,1.0,2.0,12.0,0.8,20.0,171.15707790891034,202.96359346839702,0,1
50,1.0,2.0,13.0,0.8,20.0,169.16437066001322,223.68003988795837,0,1
50,1.0,2.0,18.0,0.8,20.0,167.65163736083602,167.65163736083605,0,7
50,1.0,2.0,19.0,0.8,20.0,172.74634477441367,228.0102641740085,0,1
50,1.0,2.0,16.0,0.8,20.0,190.91913172943404,196.299111055238,0,1
50,1.0,2.0,17.0,0.8,20.0,156.96159764064555,201.90251380706152,0,1
50,1.0,2.0,3.0,0.8,20.0,173.68490609978554,188.4433914024925,0,1
50,1.0,2.0,0.0,0.8,20.0,195.57397460801155,209.8141542821056,0,1
50,1.0,2.0,1.0,0.8,20.0,158.32797341510707,174.43671519621947,0,1
50,1.0,2.0,6.0,0.8,20.0,145.89170785441146,145.89170785441146,1,1
50,1.0,2.0,7.0,0.8,20.0,159.8343741195405,165.44827084757512,0,1
50,1.0,2.0,4.0,0.8,20.0,200.62476917715867,216.10806519543402,0,1
50,1.0,2.0,5.0,0.8,20.0,164.95743331449515,196.53409973682886,0,1
50,1.0,2.0,10.0,0.8,20.0,158.2675081454203,158.2675081454203,1,1
50,1.0,2.0,11.0,0.8,20.0,188.34705295596513,198.4443471466928,0,1
50,1.0,2.0,8.0,0.8,20.0,170.94595762813606,185.66338290579066,0,1
50,1.0,2.0,9.0,0.8,20.0,166.71621988523808,201.13748804698972,0,1
50,1.0,2.0,14.0,0.8,20.0,189.85808713218296,210.066666466812,0,1
50,1.0,2.0,15.0,0.8,20.0,166.60506789647087,197.17638424709898,0,1
50,1.0,2.0,12.0,0.8,20.0,202.77118260250657,205.81536402873186,0,1
50,1.0,2.0,13.0,0.8,20.0,183.99135857859963,219.25995386108693,0,1
50,1.0,2.0,18.0,0.8,20.0,160.56767938365357,160.56767938365357,1,1
50,1.0,2.0,19.0,0.8,20.0,161.78310423277125,229.81950926086537,0,1
50,1.0,2.0,16.0,0.8,20.0,176.60867441344342,211.49579600569075,0,1
50,1.0,2.0,17.0,0.8,20.0,182.69690508923244,235.81114380024172,0,1
50,1.0,2.0,3.0,0.8,20.0,167.51699623529694,172.39619919614393,0,1
50,1.0,2.0,0.0,0.8,20.0,158.87434959699874,203.084128096266,0,1
50,1.0,2.0,1.0,0.8,20.0,161.5417109857617,202.34790635310975,0,1
50,1.0,2.0,6.0,0.8,20.0,151.46052383382735,188.12931732846758,0,1
50,1.0,2.0,7.0,0.8,20.0,151.09221992130344,174.86503939857542,0,1
50,1.0,2.0,4.0,0.8,20.0,163.39705080895283,168.9165528110281,0,1
50,1.0,2.0,5.0,0.8,20.0,160.40878662258487,167.9250771765483,0,1
50,1.0,2.0,10.0,0.8,20.0,197.54055856065585,216.95511663235538,0,1
50,1.0,2.0,11.0,0.8,20.0,153.32227140940998,153.32227140940998,1,1
50,1.0,2.0,8.0,0.8,20.0,193.54261237502539,193.54261237502539,1,1
50,1.0,2.0,9.0,0.8,20.0,156.1565312540472,156.15653125404722,0,2
50,1.0,2.0,14.0,0.8,20.0,187.0944042819847,196.34409069231683,0,1
50,1.0,2.0,15.0,0.8,20.0,169.47145993071368,169.47145993071368,1,1
50,1.0,2.0,12.0,0.8,20.0,195.85921568445286,225.4642616348084,0,1
50,1.0,2.0,13.0,0.8,20.0,153.71503485407518,179.18761170928627,0,1
50,1.0,2.0,18.0,0.8,20.0,172.89675921491929,232.94693584830785,0,1
50,1.0,2.0,19.0,0.8,20.0,171.68479613710235,203.65340339393435,0,1
50,1.0,2.0,16.0,0.8,20.0,185.29366950593052,185.29366950593052,1,1
50,1.0,2.0,17.0,0.8,20.0,178.05374640872856,190.57221763153265,0,1
50,1.0,2.0,3.0,0.8,20.0,156.2213540640707,176.2732766803158,0,1
50,1.0,2.0,0.0,0.8,20.0,205.417319786485,228.08282404153013,0,1
50,1.0,2.0,1.0,0.8,20.0,174.44291743184547,177.07375749399662,0,1
50,1.0,2.0,6.0,0.8,20.0,168.6704209813265,205.91396811006203,0,1
50,1.0,2.0,7.0,0.8,20.0,154.99188935291082,154.99188935291082,1,1
50,1.0,2.0,4.0,0.8,20.0,151.45362154136828,168.66592985526887,0,1
50,1.0,2.0,5.0,0.8,20.0,167.234107847802,179.60418255607016,0,1
50,1.0,2.0,10.0,0.8,20.0,155.76244589532166,167.08698359468218,0,1
50,1.0,2.0,11.0,0.8,20.0,184.95111868343588,189.34506749476338,0,1
50,1.0,2.0,8.0,0.8,20.0,178.8821727895921,196.83008754835112,0,1
50,1.0,2.0,9.0,0.8,20.0,205.02176726764398,241.6743372912509,0,1
50,1.0,2.0,14.0,0.8,20.0,194.96572927362485,238.40056283726847,0,1
50,1.0,2.0,15.0,0.8,20.0,175.6658577434875,211.95949780925923,0,1
50,1.0,2.0,12.0,0.8,20.0,176.60636014954025,190.1421751967246,0,1
50,1.0,2.0,13.0,0.8,20.0,172.40752048099012,172.40752048099012,1,1
50,1.0,2.0,18.0,0.8,20.0,201.48226644109,208.9615484370262,0,1
50,1.0,2.0,19.0,0.8,20.0,155.44276611690591,155.44276611690591,1,1
50,1.0,2.0,16.0,0.8,20.0,164.0011683843567,164.0011683843567,1,1
50,1.0,2.0,17.0,0.8,20.0,159.47119834371506,172.95771185847855,0,1
50,1.0,2.0,3.0,0.8,20.0,167.29833578309277,193.36126330296443,0,1
50,1.0,2.0,0.0,0.8,20.0,196.71657514783624,215.50022519258982,0,1
50,1.0,2.0,1.0,0.8,20.0,168.14093636662867,171.41425509833803,0,1
50,1.0,2.0,6.0,0.8,20.0,156.6797898003094,156.67978980030944,0,1
50,1.0,2.0,7.0,0.8,20.0,189.02815176618813,211.60419434381453,0,1
50,1.0,2.0,4.0,0.8,20.0,150.94207470113534,158.95726657874388,0,1
50,1.0,2.0,5.0,0.8,20.0,176.52388840375062,206.86430473694477,0,1
50,1.0,2.0,10.0,0.8,20.0,164.30349044655156,169.800072458447,0,1
50,1.0,2.0,11.0,0.8,20.0,161.8314488967186,178.4769954683954,0,1
50,1.0,2.0,8.0,0.8,20.0,167.03611896202742,179.71684204745503,0,1
50,1.0,2.0,9.0,0.8,20.0,167.9305606096947,167.9305606096947,6,6
50,1.0,2.0,14.0,0.8,20.0,146.54147464523186,163.92498151140737,0,1
50,1.0,2.0,15.0,0.8,20.0,158.8733788497205,158.8733788497205,1,1
50,1.0,2.0,12.0,0.8,20.0,164.9900194371766,170.2862307903776,0,1
