iteration,alpha,beta,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
50,1.0,2.0,1.0,0.9,0.0,447.38554183992187,481.1224898410359,0,1
50,1.0,2.0,1.0,0.901,0.0,365.6730575754405,489.33923401417525,0,1
50,1.0,2.0,1.0,0.902,0.0,448.0097190171408,516.1767013324886,0,1
50,1.0,2.0,1.0,0.903,0.0,452.1268817036881,491.7596984237266,0,1
50,1.0,2.0,1.0,0.904,0.0,457.7528187975464,498.9863973890303,0,1
50,1.0,2.0,1.0,0.905,0.0,412.73667022688085,540.2533208368677,0,1
50,1.0,2.0,1.0,0.906,0.0,439.6899337698537,512.6809141425534,0,1
50,1.0,2.0,1.0,0.907,0.0,434.675191180894,471.96468771739626,0,1
50,1.0,2.0,1.0,0.908,0.0,464.96483111366103,512.2497266189872,0,1
50,1.0,2.0,1.0,0.909,0.0,433.89351259796615,518.2269636955536,0,1
50,1.0,2.0,1.0,0.91,0.0,430.3346789447179,486.6927530326716,0,1
50,1.0,2.0,1.0,0.911,0.0,436.5313757741868,511.40061493124017,0,1
50,1.0,2.0,1.0,0.912,0.0,420.4954251971778,507.0566665391848,0,1
50,1.0,2.0,1.0,0.913,0.0,434.60984922865526,525.6657008550243,0,1
50,1.0,2.0,1.0,0.914,0.0,425.1090672840821,495.8187462753865,0,1
50,1.0,2.0,1.0,0.915,0.0,435.10790557478657,512.8690746261897,0,1
50,1.0,2.0,1.0,0.916,0.0,448.0051745821548,518.3030951773914,0,1
50,1.0,2.0,1.0,0.917,0.0,457.37614139167226,526.2327899348726,0,1
50,1.0,2.0,1.0,0.918,0.0,452.06346150820355,524.7675938859342,0,1
50,1.0,2.0,1.0,0.919,0.0,459.3181190801819,505.2350842347253,0,1
50,1.0,2.0,1.0,0.92,0.0,446.9799961999271,516.1710913204339,0,1
50,1.0,2.0,1.0,0.921,0.0,418.8857304939652,508.2041835117347,0,1
50,1.0,2.0,1.0,0.922,0.0,448.7347023419027,519.7293077726572,0,1
50,1.0,2.0,1.0,0.923,0.0,420.04680222209373,493.9477502882967,0,1
50,1.0,2.0,1.0,0.924,0.0,439.51583594373886,477.15819450677407,0,1
50,1.0,2.0,1.0,0.925,0.0,444.8858936182033,514.3772620745043,0,1
50,1.0,2.0,1.0,0.926,0.0,452.04035659617466,507.3996726565933,0,1
50,1.0,2.0,1.0,0.927,0.0,459.1897524324393,494.9407884100387,0,1
50,1.0,2.0,1.0,0.928,0.0,444.4712503338887,521.5238039442992,0,1
50,1.0,2.0,1.0,0.929,0.0,434.530685071139,495.48141428685807,0,1
50,1.0,2.0,1.0,0.93,0.0,434.6015690517721,561.751630228944,0,1
50,1.0,2.0,1.0,0.931,0.0,437.85472312109965,499.1458906865392,0,1
50,1.0,2.0,1.0,0.932,0.0,447.6688271995085,489.7431472042819,0,1
50,1.0,2.0,1.0,0.933,0.0,447.1907881061936,494.90357032278,0,1
50,1.0,2.0,1.0,0.934,0.0,430.9758447646275,490.5957135961982,0,1
50,1.0,2.0,1.0,0.935,0.0,459.1216237827004,481.2684407709049,0,1
50,1.0,2.0,1.0,0.936,0.0,450.39565659905,518.9080527582153,0,1
50,1.0,2.0,1.0,0.937,0.0,444.0688987460106,497.3527913312947,0,1
50,1.0,2.0,1.0,0.9380000000000001,0.0,442.5256587883845,517.6012085504872,0,1
50,1.0,2.0,1.0,0.9390000000000001,0.0,444.48930752649056,520.7891625870514,0,1
50,1.0,2.0,1.0,0.9400000000000001,0.0,433.2442416668237,519.6876074776968,0,1
50,1.0,2.0,1.0,0.9410000000000001,0.0,427.3601539439223,504.5815868125179,0,1
50,1.0,2.0,1.0,0.9420000000000001,0.0,449.9168836897549,478.32052827066667,0,1
50,1.0,2.0,1.0,0.9430000000000001,0.0,436.83945300802566,461.6754031826923,0,1
50,1.0,2.0,1.0,0.9440000000000001,0.0,435.5801163830449,482.00826552896035,0,1
50,1.0,2.0,1.0,0.9450000000000001,0.0,421.99009723487086,479.2631072373326,0,1
50,1.0,2.0,1.0,0.9460000000000001,0.0,431.13232848637296,523.5537764731292,0,1
50,1.0,2.0,1.0,0.9470000000000001,0.0,452.3071248468918,528.4857847632076,0,1
50,1.0,2.0,1.0,0.9480000000000001,0.0,454.6286461851698,479.36330919982504,0,1
50,1.0,2.0,1.0,0.9490000000000001,0.0,418.0043686388337,520.5476749884401,0,1
50,1.0,2.0,1.0,0.9500000000000001,0.0,403.8899658973741,493.61754593169667,0,1
50,1.0,2.0,1.0,0.9510000000000001,0.0,447.2924610986372,485.21822817729816,0,1
50,1.0,2.0,1.0,0.9520000000000001,0.0,448.361536798597,497.11606579003,0,1
50,1.0,2.0,1.0,0.9530000000000001,0.0,442.40102885994656,459.4115656873637,0,1
50,1.0,2.0,1.0,0.9540000000000001,0.0,451.34882510730574,481.5357262385386,0,1
50,1.0,2.0,1.0,0.9550000000000001,0.0,461.92468866709066,478.43871264838987,0,1
50,1.0,2.0,1.0,0.9560000000000001,0.0,421.97217584371714,511.26154070853653,0,1
50,1.0,2.0,1.0,0.9570000000000001,0.0,442.8789149261238,491.35367533266077,0,1
50,1.0,2.0,1.0,0.9580000000000001,0.0,435.466469919535,501.21386229831853,0,1
50,1.0,2.0,1.0,0.9590000000000001,0.0,456.2632587508716,505.4106744097863,0,1
50,1.0,2.0,1.0,0.96,0.0,451.8235462458911,519.1647497839818,0,1
50,1.0,2.0,1.0,0.9610000000000001,0.0,444.2928235287934,539.6938692718463,0,1
50,1.0,2.0,1.0,0.962,0.0,435.6726984813315,503.4874867997825,0,1
50,1.0,2.0,1.0,0.9630000000000001,0.0,452.8680679276829,483.0110542635797,0,1
50,1.0,2.0,1.0,0.964,0.0,439.4550771472406,490.64580855399595,0,1
50,1.0,2.0,1.0,0.9650000000000001,0.0,443.17452538612974,504.24461011920266,0,1
50,1.0,2.0,1.0,0.966,0.0,444.6400810572746,470.32088148033904,0,1
50,1.0,2.0,1.0,0.9670000000000001,0.0,437.6900419079035,487.3586615133762,0,1
50,1.0,2.0,1.0,0.968,0.0,410.88832333193403,505.1500990085752,0,1
50,1.0,2.0,1.0,0.9690000000000001,0.0,440.27374662857994,489.04610839422827,0,1
50,1.0,2.0,1.0,0.97,0.0,458.8108969301295,499.71459930297834,0,1
50,1.0,2.0,1.0,0.9710000000000001,0.0,427.034951588098,503.4920627591322,0,1
50,1.0,2.0,1.0,0.972,0.0,446.986505571504,487.63994143812937,0,1
50,1.0,2.0,1.0,0.973,0.0,424.4542281036235,498.483785504042,0,1
50,1.0,2.0,1.0,0.974,0.0,451.65377964805424,491.74924288377713,0,1
50,1.0,2.0,1.0,0.975,0.0,427.9342460267838,524.9445058296253,0,1
50,1.0,2.0,1.0,0.976,0.0,429.44355103407435,444.2700572234556,0,1
50,1.0,2.0,1.0,0.977,0.0,433.30776063681384,465.4056393479498,0,1
50,1.0,2.0,1.0,0.978,0.0,426.82372683792744,474.55610778486937,0,1
50,1.0,2.0,1.0,0.979,0.0,420.0391498699592,495.9061906597274,0,1
50,1.0,2.0,1.0,0.98,0.0,400.7459627830773,527.2530756711218,0,1
50,1.0,2.0,1.0,0.981,0.0,434.3918191245706,449.13815801382395,0,1
50,1.0,2.0,1.0,0.982,0.0,420.7541672465727,457.535777161468,0,1
50,1.0,2.0,1.0,0.983,0.0,447.6190818946342,524.5015764881288,0,1
50,1.0,2.0,1.0,0.984,0.0,408.0696414147292,473.7640421100559,0,1
50,1.0,2.0,1.0,0.985,0.0,443.62096217188446,489.98209688772494,0,1
50,1.0,2.0,1.0,0.986,0.0,445.86038783475857,528.2973665699773,0,1
50,1.0,2.0,1.0,0.987,0.0,426.1210138756044,516.1695636001556,0,1
50,1.0,2.0,1.0,0.988,0.0,449.27278120021,532.482828038912,0,1
50,1.0,2.0,1.0,0.989,0.0,404.0979582017665,462.526799530504,0,1
50,1.0,2.0,1.0,0.99,0.0,426.12127133230155,502.31614237157015,0,1
50,1.0,2.0,1.0,0.991,0.0,450.72414881982996,499.9320778991896,0,1
50,1.0,2.0,1.0,0.992,0.0,447.74073223912393,491.66837291704144,0,1
50,1.0,2.0,1.0,0.993,0.0,424.0092651830704,488.6128045916679,0,1
50,1.0,2.0,1.0,0.994,0.0,435.3792206164313,485.55843020222244,0,1
50,1.0,2.0,1.0,0.995,0.0,442.01652816632446,450.9454885722111,0,1
50,1.0,2.0,1.0,0.996,0.0,448.9522616334177,471.1719285185808,0,1
50,1.0,2.0,1.0,0.997,0.0,445.1301961953621,457.6901475752294,0,1
50,1.0,2.0,1.0,0.998,0.0,424.84708426555244,502.5218367131788,0,1
50,1.0,2.0,1.0,0.999,0.0,458.00100646205385,524.9152584151327,0,1
50,1.0,2.0,1.0,1.0,0.0,457.27889035043785,497.3629183989723,0,1
50,1.0,2.0,1.0,0.9,0.1,450.7236101537947,520.1923594572743,0,1
50,1.0,2.0,1.0,0.901,0.1,428.65838053523225,491.34894748162355,0,1
50,1.0,2.0,1.0,0.902,0.1,445.99737737706914,481.3838396291968,0,1
50,1.0,2.0,1.0,0.903,0.1,428.8017469745034,494.09841408098765,0,1
50,1.0,2.0,1.0,0.904,0.1,453.1400457775047,488.1988787883441,0,1
50,1.0,2.0,1.0,0.905,0.1,435.17243114676046,455.8854014322388,0,1
50,1.0,2.0,1.0,0.906,0.1,449.9521506885245,501.41418859050975,0,1
50,1.0,2.0,1.0,0.907,0.1,443.206391255526,483.363749854253,0,1
50,1.0,2.0,1.0,0.908,0.1,443.0854751370611,493.86619351219935,0,1
50,1.0,2.0,1.0,0.909,0.1,444.4806607052215,481.7669144554196,0,1
50,1.0,2.0,1.0,0.91,0.1,421.8914291463875,506.3306390017718,0,1
50,1.0,2.0,1.0,0.911,0.1,423.24412597802757,499.45617445372415,0,1
50,1.0,2.0,1.0,0.912,0.1,458.6784893733837,482.1181989030639,0,1
50,1.0,2.0,1.0,0.913,0.1,455.0383985504258,510.0875063261987,0,1
50,1.0,2.0,1.0,0.914,0.1,408.19282304247815,501.60134486596417,0,1
50,1.0,2.0,1.0,0.915,0.1,447.3060085888068,472.07993359948557,0,1
50,1.0,2.0,1.0,0.916,0.1,387.8623367604258,484.6075479282934,0,1
50,1.0,2.0,1.0,0.917,0.1,443.2685118887391,444.86179130727953,0,1
50,1.0,2.0,1.0,0.918,0.1,451.14081684427384,503.43048708855713,0,1
50,1.0,2.0,1.0,0.919,0.1,433.62951214959196,526.2264122097163,0,1
50,1.0,2.0,1.0,0.92,0.1,467.6439141580747,495.38140053227625,0,1
50,1.0,2.0,1.0,0.921,0.1,458.09607195234554,498.4411665730951,0,1
50,1.0,2.0,1.0,0.922,0.1,452.4832360734231,479.56364471663323,0,1
50,1.0,2.0,1.0,0.923,0.1,443.82332770102,458.8968455949209,0,1
50,1.0,2.0,1.0,0.924,0.1,444.55346401464914,478.2623969785826,0,1
50,1.0,2.0,1.0,0.925,0.1,439.3833765633609,467.08206244954926,0,1
